user_id,umur,pendapatan_bulanan,status_premium,ab_test_group,tema_aktif,avatar_aktif
USER_05159,24,13600000,False,B,Light Mode,Tech Robot
USER_07204,21,9400000,False,B,Light Mode,Crypto Ninja
USER_00903,28,7800000,False,B,Light Mode,Default User
USER_01769,25,7600000,False,A,Light Mode,Finance Wizard
USER_03544,22,8100000,False,A,Light Mode,Tech Robot
USER_07548,24,13100000,False,B,Dark Mode,Tech Robot
USER_05280,27,11700000,False,A,Light Mode,Default User
USER_03459,20,8300000,True,B,Dark Mode,Default User
USER_04329,24,8900000,False,B,Light Mode,Tech Robot
USER_07264,28,8600000,False,B,Dark Mode,Tech Robot
USER_00434,28,7600000,False,B,Light Mode,Crypto Ninja
USER_00723,25,6000000,False,B,Light Mode,Crypto Ninja
USER_01944,22,13400000,False,A,Dark Mode,Tech Robot
USER_06471,21,7500000,False,B,Dark Mode,Crypto Ninja
USER_01395,25,14300000,False,B,Dark Mode,Default User
USER_00384,25,5500000,False,A,Light Mode,Finance Wizard
USER_00257,20,14200000,False,A,Dark Mode,Crypto Ninja
USER_04931,23,14300000,False,A,Dark Mode,Finance Wizard
USER_05181,22,3400000,True,B,Cute Hello Kitty,Crypto Ninja
USER_07275,19,11300000,False,A,Dark Mode,Tech Robot
USER_05710,25,8100000,False,B,Dark Mode,Crypto Ninja
USER_03731,23,13400000,True,A,Cyberpunk Maskulin,Finance Wizard
USER_01167,19,10400000,False,A,Dark Mode,Finance Wizard
USER_06153,22,14900000,False,B,Light Mode,Tech Robot
USER_01839,18,8300000,False,A,Dark Mode,Finance Wizard
USER_09865,27,6200000,False,B,Dark Mode,Tech Robot
USER_05566,23,7900000,False,B,Light Mode,Tech Robot
USER_04900,26,6700000,True,B,Sunset Lo-Fi,Finance Wizard
USER_06975,18,5600000,False,A,Light Mode,Default User
USER_08737,28,12700000,False,B,Light Mode,Finance Wizard
USER_08347,28,4400000,False,B,Dark Mode,Finance Wizard
USER_06829,27,12500000,True,B,Dark Mode,Crypto Ninja
USER_04117,20,9000000,True,A,Midnight Galaxy,Finance Wizard
USER_06155,24,5000000,False,B,Dark Mode,Crypto Ninja
USER_00051,21,7500000,False,B,Light Mode,Crypto Ninja
USER_00930,26,9800000,False,B,Light Mode,Finance Wizard
USER_03591,20,3500000,False,A,Light Mode,Tech Robot
USER_02590,22,6700000,False,A,Dark Mode,Default User
USER_03043,20,9100000,False,A,Light Mode,Finance Wizard
USER_03935,24,11500000,False,A,Light Mode,Finance Wizard
USER_03336,22,9100000,False,A,Dark Mode,Tech Robot
USER_03325,26,11100000,True,A,Dark Mode,Crypto Ninja
USER_03528,24,10700000,False,B,Light Mode,Tech Robot
USER_01473,19,10300000,True,A,Cyberpunk Maskulin,Tech Robot
USER_03895,21,7500000,False,B,Light Mode,Crypto Ninja
USER_00326,26,4200000,False,A,Light Mode,Finance Wizard
USER_06052,19,12400000,False,A,Light Mode,Tech Robot
USER_03700,27,12300000,True,A,Sunset Lo-Fi,Tech Robot
USER_07984,26,3200000,False,A,Light Mode,Finance Wizard
USER_04870,27,12300000,True,B,Cyberpunk Maskulin,Finance Wizard
USER_04742,22,3500000,False,B,Light Mode,Default User
USER_08741,19,12200000,True,A,Light Mode,Tech Robot
USER_07974,21,3700000,True,A,Cyberpunk Maskulin,Default User
USER_05484,24,7300000,False,A,Dark Mode,Crypto Ninja
USER_07662,25,13800000,True,B,Light Mode,Finance Wizard
USER_01404,20,13600000,False,B,Dark Mode,Finance Wizard
USER_06644,18,13700000,False,B,Light Mode,Default User
USER_03963,21,6200000,True,B,Cute Hello Kitty,Tech Robot
USER_02160,19,11000000,False,B,Light Mode,Crypto Ninja
USER_00509,25,14100000,False,A,Light Mode,Tech Robot
USER_05421,21,10400000,False,A,Dark Mode,Tech Robot
USER_00536,19,10600000,True,B,Light Mode,Default User
USER_03732,23,7900000,False,B,Dark Mode,Tech Robot
USER_00058,23,4000000,True,B,Cyberpunk Maskulin,Default User
USER_01431,27,12400000,False,B,Light Mode,Finance Wizard
USER_01569,21,5700000,False,A,Light Mode,Finance Wizard
USER_09093,23,13700000,False,B,Dark Mode,Finance Wizard
USER_08679,19,9900000,False,B,Light Mode,Crypto Ninja
USER_03820,27,7000000,False,A,Dark Mode,Crypto Ninja
USER_03468,19,4500000,False,B,Dark Mode,Tech Robot
USER_02224,27,9700000,True,B,Cute Hello Kitty,Default User
USER_04519,21,12800000,False,A,Dark Mode,Tech Robot
USER_00916,25,7700000,False,A,Light Mode,Finance Wizard
USER_06348,24,8500000,False,A,Dark Mode,Tech Robot
USER_01868,26,9300000,False,B,Dark Mode,Tech Robot
USER_00724,25,8800000,False,A,Dark Mode,Tech Robot
USER_09458,22,11900000,True,B,Light Mode,Finance Wizard
USER_06794,19,9100000,False,B,Dark Mode,Default User
USER_01317,22,15000000,True,A,Dark Mode,Tech Robot
USER_02077,25,10500000,False,B,Dark Mode,Finance Wizard
USER_06845,27,4000000,False,B,Light Mode,Crypto Ninja
USER_02524,26,13000000,False,A,Light Mode,Default User
USER_06965,26,11800000,False,A,Dark Mode,Finance Wizard
USER_02936,18,4700000,False,B,Dark Mode,Tech Robot
USER_00889,26,4800000,True,B,Cute Hello Kitty,Finance Wizard
USER_02268,24,11600000,False,A,Light Mode,Default User
USER_06110,26,8400000,True,A,Light Mode,Tech Robot
USER_06578,25,13100000,False,A,Dark Mode,Crypto Ninja
USER_03529,18,14700000,False,B,Dark Mode,Crypto Ninja
USER_03485,25,11100000,True,A,Dark Mode,Crypto Ninja
USER_00515,25,5500000,False,B,Dark Mode,Finance Wizard
USER_02129,28,3500000,False,B,Light Mode,Default User
USER_08642,20,3300000,False,A,Light Mode,Crypto Ninja
USER_00975,18,13700000,False,B,Light Mode,Tech Robot
USER_06105,25,14400000,True,A,Sunset Lo-Fi,Tech Robot
USER_05483,20,5800000,True,B,Cyberpunk Maskulin,Tech Robot
USER_03020,20,8800000,False,A,Light Mode,Finance Wizard
USER_00836,18,12700000,False,B,Light Mode,Default User
USER_09219,28,4600000,True,B,Sunset Lo-Fi,Default User
USER_02867,22,13600000,False,A,Light Mode,Crypto Ninja
USER_08415,27,7200000,True,A,Sunset Lo-Fi,Default User
USER_00933,24,14600000,False,A,Dark Mode,Tech Robot
USER_00664,27,10900000,False,A,Light Mode,Tech Robot
USER_06850,26,9500000,False,B,Dark Mode,Finance Wizard
USER_09242,24,6300000,False,B,Dark Mode,Tech Robot
USER_06733,26,14800000,False,A,Light Mode,Default User
USER_01196,25,3700000,True,B,Dark Mode,Tech Robot
USER_02750,19,4200000,True,B,Midnight Galaxy,Crypto Ninja
USER_05320,18,13500000,False,B,Dark Mode,Finance Wizard
USER_09262,24,3700000,False,A,Light Mode,Finance Wizard
USER_06818,24,12300000,False,A,Dark Mode,Default User
USER_01268,25,12500000,False,A,Light Mode,Tech Robot
USER_07258,22,12900000,False,B,Light Mode,Tech Robot
USER_09996,20,14000000,True,A,Dark Mode,Default User
USER_03718,25,12300000,False,A,Dark Mode,Default User
USER_02774,23,9400000,False,A,Light Mode,Crypto Ninja
USER_02811,28,7200000,False,B,Dark Mode,Default User
USER_02102,20,6800000,False,A,Light Mode,Tech Robot
USER_09149,18,11000000,True,A,Midnight Galaxy,Crypto Ninja
USER_02898,20,8800000,False,A,Dark Mode,Finance Wizard
USER_03240,22,11300000,False,A,Dark Mode,Tech Robot
USER_02003,20,11700000,False,B,Dark Mode,Finance Wizard
USER_00265,18,14300000,True,A,Light Mode,Finance Wizard
USER_02119,22,11500000,True,A,Cute Hello Kitty,Finance Wizard
USER_09176,27,12200000,False,B,Light Mode,Tech Robot
USER_01496,24,11500000,False,A,Light Mode,Finance Wizard
USER_05834,24,7300000,False,A,Dark Mode,Tech Robot
USER_00028,28,3800000,False,B,Dark Mode,Finance Wizard
USER_05235,26,6600000,False,A,Dark Mode,Default User
USER_01438,27,10300000,False,A,Dark Mode,Default User
USER_00531,27,6500000,False,A,Dark Mode,Tech Robot
USER_02780,20,13000000,False,A,Light Mode,Finance Wizard
USER_09440,24,12100000,False,B,Dark Mode,Finance Wizard
USER_01017,18,5700000,False,B,Light Mode,Finance Wizard
USER_00037,21,7100000,True,B,Cyberpunk Maskulin,Default User
USER_07960,21,7200000,True,A,Light Mode,Finance Wizard
USER_03376,22,11400000,False,A,Light Mode,Finance Wizard
USER_05098,24,11700000,False,B,Dark Mode,Tech Robot
USER_05169,24,7100000,False,B,Dark Mode,Finance Wizard
USER_09907,28,13300000,True,A,Light Mode,Default User
USER_00371,21,9500000,False,A,Light Mode,Finance Wizard
USER_04371,24,8400000,False,A,Dark Mode,Default User
USER_02079,28,10100000,True,A,Sunset Lo-Fi,Default User
USER_06707,20,7700000,False,A,Dark Mode,Crypto Ninja
USER_09491,23,12000000,False,A,Light Mode,Default User
USER_06445,19,5100000,False,B,Dark Mode,Crypto Ninja
USER_05897,27,13000000,True,B,Light Mode,Crypto Ninja
USER_08042,26,5600000,True,A,Sunset Lo-Fi,Finance Wizard
USER_09116,22,15000000,False,A,Light Mode,Crypto Ninja
USER_08946,23,12200000,True,B,Midnight Galaxy,Tech Robot
USER_00408,21,9600000,False,A,Dark Mode,Default User
USER_04676,28,13700000,True,B,Sunset Lo-Fi,Tech Robot
